Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time,Decade,Speed_Category,Endurance_Category,Km_per_Lap
1923,André Lagache,3.0,Chenard & Walcker Sa,Chenard-Walcker Type U3 15Cv Sport,Michelin,128.0,2209.536,1372.942,No Series,Fra,Fra,92.06,57.21,11.25,1920,Slow,Medium,17.26
1923,René Léonard,3.0,Chenard & Walcker Sa,Chenard-Walcker Type U3 15Cv Sport,Michelin,128.0,2209.536,1372.942,No Series,Fra,Fra,92.06,57.21,11.25,1920,Slow,Medium,17.26
1924,Frank Clement,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No Series,Gbr,Gbr,86.56,53.78,12.0,1920,Slow,Medium,17.31
1924,John Duff,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No Series,Can,Gbr,86.56,53.78,12.0,1920,Slow,Medium,17.31
1925,Gérard De Courcelles,5.0,Société Lorraine De Dietrich Et Cie,Lorraine-Dietrich B3-6 Sport,Englebert,129.0,2233.982,1388.132,No Series,Fra,Fra,93.08,57.84,11.16,1920,Slow,Medium,17.32
1925,André Rossignol,5.0,Société Lorraine De Dietrich Et Cie,Lorraine-Dietrich B3-6 Sport,Englebert,129.0,2233.982,1388.132,No Series,Fra,Fra,93.08,57.84,11.16,1920,Slow,Medium,17.32
1926,Robert Bloch,5.0,Société Lorraine De Dietrich Et Cie,Lorraine-Dietrich B3-6 Le Mans,Dunlop,148.0,2552.414,1585.997,No Series,Fra,Fra,106.35,66.08,9.73,1920,Medium,Medium,17.25
1926,André Rossignol,5.0,Société Lorraine De Dietrich Et Cie,Lorraine-Dietrich B3-6 Le Mans,Dunlop,148.0,2552.414,1585.997,No Series,Fra,Fra,106.35,66.08,9.73,1920,Medium,Medium,17.25
1927,Dudley Benjafield,3.0,Bentley Motors Limited,Bentley 3 Litre Speed,Dunlop,137.0,2369.807,1472.53,No Series,Gbr,Gbr,98.74,61.36,10.51,1920,Slow,Medium,17.3
1927,Sammy Davis,3.0,Bentley Motors Limited,Bentley 3 Litre Speed,Dunlop,137.0,2369.807,1472.53,No Series,Gbr,Gbr,98.74,61.36,10.51,1920,Slow,Medium,17.3
