Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time,Decade,Speed_Category,Endurance_Category,Km_per_Lap
1931.0,Earl Howe,3.0,Earl Howe,Alfa Romeo 8c-2300 Lm,Dunlop,184.0,3017.654,1875.083,No Series,Gbr,Gbr,125.74,78.13,7.83,1930,Medium,Long,16.4
1932.0,Raymond Sommer,5.0,Raymond Sommer,Alfa Romeo 8c-2300 Lm,Englebert,218.0,2954.038,1835.554,No Series,Fra,Fra,123.08,76.48,6.61,1930,Medium,Ultra Long,13.55
1935.0,Johnny Hindmarsh,5.0,Fox & Nichol,Lagonda M45r Rapide,Dunlop,222.0,3006.797,1868.337,No Series,Gbr,Gbr,125.28,77.85,6.49,1930,Medium,Ultra Long,13.54
1937.0,Robert Benoist,5.0,Roger Labric,Bugatti Type 57g Tank,Dunlop,244.0,3287.938,2043.03,No Series,Fra,Fra,137.0,85.13,5.9,1930,Medium,Ultra Long,13.48
1937.0,Jean-pierre Wimille,5.0,Roger Labric,Bugatti Type 57g Tank,Dunlop,244.0,3287.938,2043.03,No Series,Fra,Fra,137.0,85.13,5.9,1930,Medium,Ultra Long,13.48
1939.0,Pierre Veyron,8.0,Jean-pierre Wimille,Bugatti Type 57s Tank,Dunlop,248.0,3354.76,2084.55,No Series,Fra,Fra,139.78,86.86,5.81,1930,Medium,Ultra Long,13.53
1949.0,Peter Mitchell-thomson,,Lord Selsdon,Ferrari 166 Mm,Englebert,235.0,3178.299,1974.903,No Series,Gbr,Gbr,132.43,82.29,6.13,1940,Medium,Ultra Long,13.52
1950.0,Jean-louis Rosier,,Louis Rosier,Talbot Lago Grand Sport T26,Dunlop,256.0,3465.12,2153.13,No Series,Fra,Fra,144.38,89.71,5.62,1950,Medium,Ultra Long,13.54
1953.0,Tony Rolt,,Jaguar Cars Ltd.,Jaguar C-type,Dunlop,304.0,4088.064,2540.205,Wsc,Gbr,Gbr,170.34,105.84,4.74,1950,Fast,Ultra Long,13.45
1954.0,Maurice Trintignant,,Scuderia Ferrari,Ferrari 375 Plus,Pirelli,302.0,4061.15,2523.48,Wsc,Fra,Ita,169.21,105.14,4.77,1950,Fast,Ultra Long,13.45
1955.0,Ivor Bueb,,Jaguar Cars Ltd.,Jaguar D-type,Dunlop,307.0,4135.38,2569.61,Wsc,Gbr,Gbr,172.31,107.07,4.69,1950,Fast,Ultra Long,13.47
1956.0,Ninian Sanderson,,Ecurie Ecosse,Jaguar D-type,Dunlop,300.0,4034.929,2507.189,No Series,Gbr,Gbr,168.12,104.47,4.8,1950,Fast,Ultra Long,13.45
1958.0,Olivier Gendebien,,Scuderia Ferrari,Ferrari 250 Tr58,Englebert,305.0,4101.926,2548.819,Wsc,Bel,Ita,170.91,106.2,4.72,1950,Fast,Ultra Long,13.45
1958.0,Phil Hill,,Scuderia Ferrari,Ferrari 250 Tr58,Englebert,305.0,4101.926,2548.819,Wsc,Usa,Ita,170.91,106.2,4.72,1950,Fast,Ultra Long,13.45
1959.0,Roy Salvadori,,David Brown Racing Dept.,Aston Martin Dbr1/300,A,323.0,4347.9,2701.7,Wsc,Gbr,Gbr,181.16,112.57,4.46,1950,Fast,Ultra Long,13.46
